section,subsection,page,markers,marker_roles,name,qualifier,address,cross_reference,canvas_fragment,image
BOOKSELLERS,Bookseller—Agricultural,p. 646 (scan 674),,,Wright Henry,,51 Haymarket,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=589,3810,859,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Architectural & Engineering & Scientific,p. 646 (scan 674),,,Maynard Sl.,,"8 Earl's court, Leicester sq",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=590,4071,1112,54",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Architectural & Engineering & Scientific,p. 646 (scan 674),,,Reid William Henry,,15 Charing cross,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=586,4133,1081,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Architectural & Engineering & Scientific,p. 646 (scan 674),,,Weale John,,59 High Holborn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=581,4196,853,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Architectural & Engineering & Scientific,p. 646 (scan 674),,,Williams John,,106 Gt. Russell st. Blomsb,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=583,4254,1124,69",0001_p16445coll4:27074.jpg
BOOKSELLERS,Bookseller—Botanical,p. 646 (scan 674),,,Pamplin William,,"9 Queen street, Soho",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=583,4450,1096,64",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Alexandre A.,,37 Gt. Russell st. Blmsbury,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=584,4709,1125,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Asher Adolphus,,158 Fleet st. & at Berlin,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=586,4775,1122,55",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Bagster & Marshall,american com. agents,13 Paternoster row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=583,4834,1122,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Bailliere Hippolite,,219 Regent street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=581,4962,1055,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Barthes & Lowell,,14 Gt. Marlborough st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=581,5026,1126,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Black & Armstrong,,8 Wellington st. nth,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=580,5090,1125,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Bohn H. G.,,4 & 5 York st. Covent garden,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=580,5154,1126,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Bohn James,,12 King William st. Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=583,5216,1124,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Bohn John,,17 Henrietta st. Covent gdn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=580,5282,1095,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,"Bossange, Barthés & Lowell",,14 Great Marlborough street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=578,5348,1129,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Bryant John,,9 King William st. Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=577,5478,1128,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Cannon G.,,2 Gt. May's blds. St. Martin's la,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=577,5540,1130,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Clark W.,,"21 Finch lane, Cornhill",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=577,5604,916,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Delaporte Mich. P.,,37 Burlington arcade,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=576,5669,1122,60",0001_p16445coll4:27074.jpg
