section,subsection,markers,marker_roles,name,qualifier,address,cross_reference,canvas_fragment,image
BOOKSELLERS,Booksellers in General,*†,Printers; Publishers,Coghlan F.,,5 Brydges st. & 457 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=678,474,3246,60",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Colburn Henry,,13 Gt. Marlborough st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=564,534,3390,62",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Cole Joseph,,London street Greenwich,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=567,659,3385,72",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Collins Miss Julia,,29 Orchard street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=571,725,3384,71",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Collins Samuel,,84 St. John street rd,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=568,792,3383,64",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Collyer E. & A.,,5 Prospect pl. Chelsea,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=568,856,3349,68",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Corbett Thomas,,218 Tottenham ct. rd,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=568,926,2086,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Cornish Samuel & Co.,,126 Newgate st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=560,988,2125,64",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Courtier Charles,,3 Bouverie street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=566,1119,1043,61",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Cowel Jas.W.,,6Waterloo ter.Comrl.rd.ea,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=575,1178,3319,66",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,*,Printers,Cowell Joseph,,"23 Queen's row,Pimlico",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=572,1248,3371,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,"Cowie, Jolland & Co.",,31 Poultry,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=564,1315,952,54",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Coxhead Joseph,,249 High Holborn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=568,1378,1016,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Crabb James A.,,80 Cheapside,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=564,1443,869,54",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Cradock T. M. & Co.,,48 Paternoster rw,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,1505,3401,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖c*,General Stationers; Bookbinders; Printers,Cresswell John,,121 Crawford street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=563,1567,3210,64",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,*§‖b,Printers; Librarians; General Stationers; Account-book makers,Crew Francis,,27 Lamb's Conduit st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,1635,3280,56",0002_p16445coll4:27075.jpg
